Tool,Compiler,Benchmark,Application,#nodes,#processes,avg Runtime(s)-real,avg Runtime(s)-user, avg Size(KB)
callgrind,mpicc,pkifmm,ex0-2,1,16,2188.8953333333334,0.65633333333333332,13479.1953125
orig,tau,amg,amg1,1,16,0.0,0.0,4356001.97265625
orig,tau,amg,amg2,1,16,0.0,0.0,4331657.0078125
orig,tau,amg,amg3,1,16,0.0,0.0,4058135.1904296875
orig,tau,amg,amg4,1,16,0.0,0.0,4253094.1552734375
orig,tau,amg,amg1,4,64,0.0,0.0,5040.0732421875
orig,tau,amg,amg2,4,64,0.0,0.0,5039.7666015625
orig,tau,amg,amg3,4,64,0.0,0.0,5040.2939453125
orig,tau,amg,amg4,4,64,0.0,0.0,5040.10546875
orig,mpicc,pkifmm,ex0-1,1,16,40.808,1.5116666666666667,0.0
orig,mpicc,pkifmm,ex0-2,1,16,101.58866666666665,1.5186666666666666,0.0
orig,mpicc,pkifmm,ex1-1,1,16,48.167666666666662,1.5229999999999999,0.0
orig,mpicc,pkifmm,ex1-2,1,16,118.90066666666667,1.5193333333333332,0.0
orig,mpicc,pkifmm,ex2-1,1,16,38.618000000000002,1.5203333333333333,0.0
orig,mpicc,pkifmm,ex2-2,1,16,95.563666666666677,1.5226666666666666,0.0
orig,mpicc,pkifmm,ex3-1,1,16,48.192666666666668,1.5229999999999999,0.0
orig,mpicc,pkifmm,ex3-2,1,16,97.966999999999999,1.5109999999999999,0.0
orig,mpicc,pkifmm,ex0-1,4,64,60.274333333333338,1.6820000000000002,0.0
orig,mpicc,pkifmm,ex0-2,4,64,117.07166666666667,1.6910000000000001,0.0
orig,mpicc,pkifmm,ex1-1,4,64,61.32,1.6966666666666665,0.0
orig,mpicc,pkifmm,ex1-2,4,64,122.93533333333333,1.7076666666666667,0.0
orig,mpicc,pkifmm,ex2-1,4,64,50.980666666666671,1.7060000000000002,0.0
orig,mpicc,pkifmm,ex2-2,4,64,99.178333333333327,1.6913333333333334,0.0
orig,mpicc,pkifmm,ex3-1,4,64,51.542333333333339,1.6943333333333335,0.0
orig,mpicc,pkifmm,ex3-2,4,64,102.00833333333333,1.6943333333333335,0.0
pinAll,mpicc,amg,amg1,1,16,80.482666666666674,0.92866666666666664,110363.0419921875
pinAll,mpicc,amg,amg2,1,16,41.340333333333341,0.93433333333333335,71213.494140625
pinAll,mpicc,amg,amg3,1,16,20.042333333333335,0.93900000000000006,36853.3388671875
pinAll,mpicc,amg,amg4,1,16,18.224999999999998,0.93633333333333335,36077.6328125
pinAll,mpicc,amg,amg1,4,64,97.594999999999985,1.1193333333333333,514020.5048828125
pinAll,mpicc,amg,amg2,4,64,52.102333333333327,1.107,351831.3701171875
pinAll,mpicc,amg,amg3,4,64,25.884333333333334,1.1173333333333335,190540.5693359375
pinAll,mpicc,amg,amg4,4,64,24.407333333333337,1.1096666666666666,195444.31640625
pinAll,mpicc,hpgmg,fe,1,16,82.468999999999994,0.92633333333333334,33822.966796875
pinAll,mpicc,hpgmg,fv1,1,16,126.38733333333334,2.2733333333333334,172975.0068359375
pinAll,mpicc,hpgmg,fv2,1,16,111.95133333333332,1.3220000000000001,627211.9013671875
pinAll,mpicc,hpgmg,fv3,1,16,216.477,1.0396666666666665,231538.2119140625
pinAll,mpicc,hpgmg,fe,4,64,96.258333333333326,1.117,158366.853515625
pinAll,mpicc,hpgmg,fv1,4,64,121.45166666666667,1.5830000000000002,2120932.7626953125
pinAll,mpicc,hpgmg,fv2,4,64,124.3,1.3553333333333335,2105967.5810546875
pinAll,mpicc,hpgmg,fv3,4,64,220.52166666666668,1.1946666666666668,2341242.9755859375
pinAll,mpicc,nas,bt,1,16,140.70099999999999,0.93633333333333324,25188.08984375
pinAll,mpicc,nas,cg,1,16,27.764333333333337,0.95000000000000007,17336.7177734375
pinAll,mpicc,nas,ep,1,16,44.501666666666665,0.92700000000000005,11676.39453125
pinAll,mpicc,nas,ft,1,16,46.481000000000002,0.93300000000000016,11336.4638671875
pinAll,mpicc,nas,is,1,16,10.382333333333333,0.92466666666666664,9955.5810546875
pinAll,mpicc,nas,lu,1,16,78.188333333333333,0.93033333333333346,27392.021484375
pinAll,mpicc,nas,mg,1,16,18.694333333333333,0.92399999999999993,12279.322265625
pinAll,mpicc,nas,sp,1,16,122.33466666666668,0.93699999999999994,24932.458984375
pinAll,mpicc,nas,bt,4,64,43.210333333333324,1.1136666666666668,115235.544921875
pinAll,mpicc,nas,cg,4,64,18.346999999999998,1.1176666666666668,90782.208984375
pinAll,mpicc,nas,ep,4,64,19.409333333333333,1.1033333333333333,42456.48828125
pinAll,mpicc,nas,ft,4,64,21.989999999999998,1.1203333333333332,56074.1455078125
pinAll,mpicc,nas,is,4,64,12.296000000000001,1.1183333333333334,45272.15625
pinAll,mpicc,nas,lu,4,64,32.405333333333331,1.1130000000000002,127961.900390625
pinAll,mpicc,nas,mg,4,64,15.905333333333331,1.1153333333333335,53164.1708984375
pinAll,mpicc,nas,sp,4,64,36.942,1.1159999999999999,118501.4541015625
pinAll,mpicc,pkifmm,ex0-1,1,16,321.62966666666671,0.93699999999999994,1096878.01171875
pinAll,mpicc,pkifmm,ex0-2,1,16,815.23899999999992,0.94299999999999995,2255211.34765625
pinAll,mpicc,pkifmm,ex1-1,1,16,319.69533333333334,0.93466666666666665,1093069.7734375
pinAll,mpicc,pkifmm,ex1-2,1,16,813.096,0.93466666666666676,2247027.349609375
pinAll,mpicc,pkifmm,ex0-1,4,64,468.29500000000002,1.1186666666666667,4755264.1669921875
pinAll,mpicc,pkifmm,ex0-2,4,64,942.59866666666665,1.1239999999999999,9563138.4443359375
pinAll,mpicc,pkifmm,ex1-2,4,64,861.97066666666672,1.1226666666666667,9519398.6962890625
pinMain,mpicc,amg,amg1,1,16,60.00333333333333,0.93166666666666664,128105.306640625
pinMain,mpicc,amg,amg2,1,16,31.599666666666664,0.93433333333333335,68911.044921875
pinMain,mpicc,amg,amg3,1,16,14.873333333333335,0.94433333333333336,25018.423828125
pinMain,mpicc,amg,amg4,1,16,15.469999999999999,0.93899999999999995,24418.4716796875
pinMain,mpicc,amg,amg1,4,64,66.678666666666672,1.1239999999999999,545226.4326171875
pinMain,mpicc,amg,amg2,4,64,36.568666666666665,1.1193333333333333,304135.072265625
pinMain,mpicc,amg,amg3,4,64,19.650000000000002,1.1073333333333333,117376.0234375
pinMain,mpicc,amg,amg4,4,64,19.588333333333335,1.1073333333333333,119798.1044921875
pinMain,mpicc,hpgmg,fe,1,16,46.576666666666661,0.93066666666666664,125.2197265625
pinMain,mpicc,hpgmg,fv1,1,16,127.49033333333334,2.6523333333333334,813.662109375
pinMain,mpicc,hpgmg,fv2,1,16,101.319,1.3673333333333335,8292.841796875
pinMain,mpicc,hpgmg,fv3,1,16,222.14733333333334,1.0273333333333332,13167.3740234375
pinMain,mpicc,hpgmg,fe,4,64,57.411000000000001,1.1186666666666667,520.3017578125
pinMain,mpicc,hpgmg,fv1,4,64,107.95933333333333,1.6913333333333334,359128.31640625
pinMain,mpicc,hpgmg,fv2,4,64,110.848,1.3973333333333333,365676.099609375
pinMain,mpicc,hpgmg,fv3,4,64,228.37833333333333,1.1936666666666667,378985.5888671875
pinMain,mpicc,nas,bt,1,16,153.35299999999998,0.93200000000000005,2250.017578125
pinMain,mpicc,nas,cg,1,16,24.946666666666669,0.93066666666666675,242.927734375
pinMain,mpicc,nas,ep,1,16,41.580666666666666,0.93366666666666676,1669.2099609375
pinMain,mpicc,nas,ft,1,16,44.43633333333333,0.93100000000000005,717.7919921875
pinMain,mpicc,nas,is,1,16,7.9516666666666671,0.92499999999999993,38.431640625
pinMain,mpicc,nas,lu,1,16,74.739333333333335,0.93699999999999994,1055.2099609375
pinMain,mpicc,nas,mg,1,16,15.762,0.92700000000000005,501.119140625
pinMain,mpicc,nas,sp,1,16,118.43900000000001,0.93866666666666665,1252.0126953125
pinMain,mpicc,nas,bt,4,64,47.93966666666666,1.1286666666666667,17038.3212890625
pinMain,mpicc,nas,cg,4,64,18.976333333333333,1.1080000000000001,17298.4677734375
pinMain,mpicc,nas,ep,4,64,16.795333333333335,1.1306666666666667,2120.44140625
pinMain,mpicc,nas,ft,4,64,20.191000000000003,1.1160000000000001,2839.876953125
pinMain,mpicc,nas,is,4,64,8.8669999999999991,1.1180000000000001,982.244140625
pinMain,mpicc,nas,lu,4,64,28.475333333333335,1.1233333333333333,45345.1083984375
pinMain,mpicc,nas,mg,4,64,12.276333333333332,1.1116666666666666,4829.3583984375
pinMain,mpicc,nas,sp,4,64,32.187333333333335,1.1223333333333334,27371.3505859375
pinMain,mpicc,pkifmm,ex0-1,1,16,441.08699999999999,0.94300000000000006,1011024.3662109375
pinMain,mpicc,pkifmm,ex0-2,1,16,1145.3969999999999,0.94733333333333325,2081947.857421875
pinMain,mpicc,pkifmm,ex1-2,1,16,759.76966666666669,0.6256666666666667,1385821.8271484375
pinMain,mpicc,pkifmm,ex0-1,4,64,643.4609999999999,1.1213333333333335,4377009.11328125
pinMain,mpicc,pkifmm,ex0-2,4,64,1303.7496666666668,1.1223333333333334,8848702.5751953125
tau_exec,mpicc,pkifmm,ex0-1,1,16,0.0,0.0,305585.78125
tau_exec,mpicc,pkifmm,ex0-2,1,16,0.0,0.0,380069.201171875
tau_exec,mpicc,pkifmm,ex1-1,1,16,0.0,0.0,305403.4208984375
tau_exec,mpicc,pkifmm,ex1-2,1,16,0.0,0.0,379893.1455078125
tau_exec,mpicc,pkifmm,ex2-1,1,16,0.0,0.0,305416.9873046875
tau_exec,mpicc,pkifmm,ex2-2,1,16,0.0,0.0,379904.7421875
tau_exec,mpicc,pkifmm,ex3-1,1,16,0.0,0.0,307301.3798828125
tau_exec,mpicc,pkifmm,ex3-2,1,16,0.0,0.0,380561.5439453125
tau_exec,mpicc,pkifmm,ex0-1,4,64,0.0,0.0,1252665.0927734375
tau_exec,mpicc,pkifmm,ex0-2,4,64,0.0,0.0,1555677.330078125
tau_exec,mpicc,pkifmm,ex1-1,4,64,0.0,0.0,1251929.08203125
tau_exec,mpicc,pkifmm,ex1-2,4,64,0.0,0.0,1554968.3798828125
tau_exec,mpicc,pkifmm,ex2-1,4,64,0.0,0.0,1251983.0146484375
tau_exec,mpicc,pkifmm,ex2-2,4,64,0.0,0.0,1555013.36328125
tau_exec,mpicc,pkifmm,ex3-1,4,64,0.0,0.0,1284439.677734375
tau_exec,mpicc,pkifmm,ex3-2,4,64,0.0,0.0,1587228.22265625
