Experiment,1/16,4/64,16/256,64/1024
callgrind.mpicc.nas.bt,1023.95,298.75,83.47,48.67
callgrind.mpicc.nas.cg,93.29,41.07,24.52,19.45
callgrind.mpicc.nas.ep,142.90,41.06,15.04,10.06
callgrind.mpicc.nas.ft,292.22,82.86,30.90,33.37
callgrind.mpicc.nas.is,15.63,9.45,17.26,120.02
callgrind.mpicc.nas.lu,482.25,143.86,58.46,36.13
callgrind.mpicc.nas.mg,47.83,17.94,11.24,11.81
callgrind.mpicc.nas.sp,429.93,137.32,53.54,53.00
orig.mpicc.nas.bt,92.71,23.11,9.42,7.52
orig.mpicc.nas.cg,19.19,8.72,7.63,7.00
orig.mpicc.nas.ep,11.03,6.75,5.03,4.93
orig.mpicc.nas.ft,24.27,12.78,8.63,9.06
orig.mpicc.nas.is,6.22,4.76,5.10,10.38
orig.mpicc.nas.lu,61.92,20.13,8.01,6.50
orig.mpicc.nas.mg,9.59,5.39,4.27,4.84
orig.mpicc.nas.sp,111.80,22.52,12.39,7.00
orig.scorep.nas.bt,93.74,23.96,14.31,11.67
orig.scorep.nas.cg,19.64,9.58,6.19,11.41
orig.scorep.nas.ep,12.53,6.28,4.70,6.98
orig.scorep.nas.ft,24.60,12.28,9.27,14.37
orig.scorep.nas.is,7.08,6.64,5.34,13.99
orig.scorep.nas.lu,62.63,21.20,9.58,11.67
orig.scorep.nas.mg,10.00,6.74,6.46,7.59
orig.scorep.nas.sp,112.54,23.56,14.60,14.17
orig.tau.nas.bt,93.22,25.43,12.01,14.17
orig.tau.nas.cg,20.37,11.46,9.36,12.44
orig.tau.nas.ep,11.27,7.57,4.28,16.93
orig.tau.nas.ft,24.37,12.27,7.84,11.46
orig.tau.nas.is,7.14,6.27,5.50,13.13
orig.tau.nas.lu,70.73,31.98,21.74,28.43
orig.tau.nas.mg,10.00,7.35,6.89,10.37
orig.tau.nas.sp,112.36,24.28,13.18,23.14
pinAll.mpicc.nas.bt,140.55,43.28,20.90,25.99
pinAll.mpicc.nas.cg,27.73,18.13,17.25,26.55
pinAll.mpicc.nas.ep,44.70,19.25,14.00,14.88
pinAll.mpicc.nas.ft,46.60,22.03,17.43,35.41
pinAll.mpicc.nas.is,10.38,12.65,13.13,21.68
pinAll.mpicc.nas.lu,77.69,32.60,21.46,45.86
pinAll.mpicc.nas.mg,18.42,13.52,14.49,36.41
pinAll.mpicc.nas.sp,122.41,35.63,20.01,26.02
pinMain.mpicc.nas.bt,153.19,45.38,17.94,61.40
pinMain.mpicc.nas.cg,24.85,19.89,13.84,17.21
pinMain.mpicc.nas.ep,41.52,16.57,9.69,11.86
pinMain.mpicc.nas.ft,43.78,20.42,12.80,17.02
pinMain.mpicc.nas.is,7.95,8.63,9.07,91.93
pinMain.mpicc.nas.lu,74.56,28.49,19.24,25.60
pinMain.mpicc.nas.mg,13.93,10.14,9.90,16.59
pinMain.mpicc.nas.sp,118.47,32.46,16.49,17.36
tau_exec.mpicc.nas.bt,93.02,23.73,11.67,17.19
tau_exec.mpicc.nas.cg,19.94,9.89,8.64,17.54
tau_exec.mpicc.nas.ep,10.67,5.87,4.35,8.75
tau_exec.mpicc.nas.ft,23.83,11.37,8.76,14.74
tau_exec.mpicc.nas.is,5.40,4.42,4.52,16.99
tau_exec.mpicc.nas.lu,70.83,31.21,22.02,32.23
tau_exec.mpicc.nas.mg,9.65,5.39,4.38,10.37
tau_exec.mpicc.nas.sp,111.93,23.97,12.69,28.37
